method,discover_question_id,scoring_day_et,subset,n_individuals,aggregate_brier,median_individual_brier,mean_individual_brier,aggregate_percentile_rank
median,341,2018-08-11,multi-option nominal only,17,0.0003048315805517465,0.06499999999999997,0.19430898705882355,0.5882352941176471
geometric_mean_of_odds,189,2018-03-19,ordinal only,28,0.046727886770850074,0.077525,0.07984274267857143,0.6785714285714286
median,215,2018-04-03,binary only,6,0.026449999999999998,0.0269,0.1433317133333333,0.5
geometric_mean_of_odds,260,2018-07-12,ordinal only,31,0.8692071754810706,0.77625,0.8646350276847627,0.4838709677419355
geometric_mean_of_odds,318,2018-05-22,ordinal only,20,0.1261560744201021,0.23633203500000002,0.28288154125,0.7
median,341,2018-08-13,multi-option nominal only,26,0.007441902128797952,0.010796439999999994,0.31181681115384613,0.5769230769230769
median,180,2018-06-10,ordinal only,15,0.10079003007464486,0.16995000000000002,0.2978110746666667,0.6666666666666666
geometric_mean_of_odds,180,2018-06-20,ordinal only,7,0.014910578503216384,0.32909999999999995,0.3001857142857142,0.8571428571428571
geometric_mean_of_odds,238,2018-04-26,ordinal only,4,0.1577956585175773,0.15589999999999998,0.2076375,0.5
median,348,2018-06-28,binary only,17,0.019999999999999997,0.019999999999999997,0.22700450588235294,0.47058823529411764
median,220,2018-07-14,ordinal only,4,0.5139096279317634,0.63410166,0.66245872625,0.5
median,249,2018-05-15,binary only,7,0.24499999999999997,0.24499999999999997,0.39163456285714293,0.42857142857142855
median,215,2018-03-31,binary only,6,0.05779999999999997,0.0676,0.10866666666666669,0.5
geometric_mean_of_odds,255,2018-05-06,multi-option nominal only,46,0.7684335950446912,0.71489483,0.792503472173913,0.45652173913043476
median,185,2018-03-20,ordinal only,7,0.07195032870708547,0.1075675,0.1606957142857143,0.5714285714285714
geometric_mean_of_odds,248,2018-05-06,binary only,28,2.1199966319064457e-6,0.0002000000000000002,0.03940180214285714,0.6428571428571429
median,290,2018-06-15,ordinal only,17,0.054469125305558544,0.0646,0.07628109823529412,0.5294117647058824
median,392,2018-08-25,binary only,46,0.019999999999999997,0.019999999999999997,0.1075027747826087,0.4782608695652174
median,299,2018-06-27,multi-option nominal only,32,0.4099149942155827,0.4706,0.6413070737500001,0.53125
median,201,2018-05-22,binary only,15,0.019999999999999997,0.019999999999999997,0.06862163333333333,0.4666666666666667
median,287,2018-05-05,binary only,24,0.9660499999999999,0.9660999999999998,0.7923670491666667,0.5
geometric_mean_of_odds,287,2018-07-19,binary only,19,0.06992542188090642,0.32000000000000006,0.44434736842105266,0.631578947368421
median,202,2018-05-08,binary only,25,0.07999999999999999,0.07999999999999999,0.31494797599999996,0.44
geometric_mean_of_odds,200,2018-03-27,binary only,8,0.0012455118914385238,0.016399999999999994,0.10797500000000002,0.625
geometric_mean_of_odds,210,2018-05-30,binary only,9,0.0930992895358237,0.07999999999999999,0.19233794666666668,0.3333333333333333
geometric_mean_of_odds,241,2018-04-25,binary only,13,0.09760143475940039,0.045000000000000005,0.18450034615384617,0.38461538461538464
median,270,2018-05-02,multi-option nominal only,5,0.028576415588021698,0.037600000000000015,0.032779216,0.6
median,223,2018-05-20,binary only,1,0.07644050000000001,0.07644050000000001,0.07644050000000001,0.0
geometric_mean_of_odds,213,2018-04-06,binary only,8,4.864006871208341e-6,0.0005000000000000004,0.0028502500000000004,0.625
median,220,2018-06-01,ordinal only,17,0.5649892946628127,0.505,0.5260730697058824,0.47058823529411764
median,202,2018-07-31,binary only,12,4.999999999999449e-7,1.000000000000001e-6,0.003275793333333334,0.5
median,200,2018-05-15,binary only,14,0.13535604499999998,0.13853209,0.5412483342857143,0.5
median,376,2018-08-11,binary only,13,0.019999999999999997,0.019999999999999997,0.3796793076923076,0.46153846153846156
median,385,2018-07-27,ordinal only,80,0.05867166686728928,0.09267469,0.12613941612500001,0.6625
geometric_mean_of_odds,384,2018-07-29,ordinal only,83,0.324347893239152,0.280753735,0.34807114596208466,0.43373493975903615
median,374,2018-08-27,ordinal only,34,0.0012944098858184692,0.0013000000000000023,0.08419457411764707,0.5
median,314,2018-06-15,ordinal only,11,0.9212929145361577,0.9924999999999999,0.9011318445454546,0.7272727272727273
geometric_mean_of_odds,201,2018-05-28,binary only,8,0.002379823642760787,0.006837610000000001,0.014959652499999998,0.75
geometric_mean_of_odds,215,2018-08-15,binary only,27,0.0017282264156541982,0.019999999999999997,0.31718592296296294,0.7407407407407407
geometric_mean_of_odds,359,2018-07-02,binary only,8,0.00001851292573861484,0.0009547600000000006,0.0744401425,0.625
geometric_mean_of_odds,230,2018-07-01,multi-option nominal only,10,1.9160418107504351,1.63,1.439411835,0.1
geometric_mean_of_odds,268,2018-06-18,binary only,5,0.0005975451517554961,0.003200000000000003,0.35668000000000005,0.6
median,264,2018-04-30,ordinal only,4,0.43603501101834247,0.47400250000000005,0.47418875,0.75
median,203,2018-03-19,binary only,7,0.0050000000000000044,0.0050000000000000044,0.1420857142857143,0.42857142857142855
median,264,2018-06-01,ordinal only,9,0.21006738010305195,0.2525,0.27287816444444446,0.6666666666666666
geometric_mean_of_odds,307,2018-07-20,ordinal only,7,0.113917716887836,0.08192150000000001,0.24360834450187552,0.42857142857142855
median,306,2018-06-08,binary only,4,0.018049999999999997,0.024100000000000003,0.22330000000000003,0.5
median,317,2018-05-11,multi-option nominal only,20,0.3366116769091892,0.38973004,0.332579525,0.55
