discover_question_id,subset,mean_delta,question_day_positive_excess_loss,n_question_days,question_balanced_positive_excess_loss
279,ordinal only,-0.013365158656350339,0.4827384753620754,44,0.0
381,binary only,-0.02602745836450283,0.1435178995544237,45,0.0
326,binary only,-0.008469769279283583,0.06120244333676444,101,0.0
177,ordinal only,-0.046708811186718185,1.2166779751118433,54,0.0
389,ordinal only,-0.01179727133315056,0.32960111507903994,22,0.0
254,binary only,-0.010916656441870924,0.882089895128401,59,0.0
223,binary only,-0.15440245863716096,1.4810460657480136,98,0.0
365,ordinal only,-0.00198811176925301,1.5096339494295585,63,0.0
387,ordinal only,-0.010491403750917987,0.14413874236200655,17,0.0
342,multi-option nominal only,-0.060500780939615126,1.479003616977171,35,0.0
233,ordinal only,-0.011022134734248212,3.550082720044327,171,0.0
317,multi-option nominal only,-0.02313504973809205,1.1825877418117852,16,0.0
332,binary only,-0.00858129204475938,2.000000000057513e-12,8,0.0
284,binary only,-0.03841812888986907,1.5625244484888108,74,0.0
306,binary only,-0.01610129772478809,0.7221817195766895,91,0.0
268,binary only,-0.042597292533573194,3.1984436180062326,150,0.0
379,binary only,-0.004849578885060897,0.30101335084654496,21,0.0
367,binary only,-0.0050283761177253705,0.0732551494734095,73,0.0
395,binary only,-0.012828988143985068,0.0,17,0.0
303,ordinal only,-0.02487871400132845,0.4472706822120281,34,0.0
327,binary only,-0.0031779632014531734,0.04375371260646968,101,0.0
270,multi-option nominal only,-0.0005732453555380701,6.963344165001006,150,0.0
358,binary only,-0.009658331179934183,0.15900735847371122,87,0.0
309,binary only,-0.05086209570538864,0.3065780378781233,23,0.0
356,ordinal only,-0.0136752656478854,0.0,16,0.0
346,binary only,-0.00013207963589770847,0.3474893425351865,94,0.0
250,ordinal only,-0.01996254491815527,0.5858889958178437,71,0.0
353,ordinal only,-0.05963839754470805,0.35457375088621257,56,0.0
352,ordinal only,-0.006083812535817847,0.6438083788854388,57,0.0
373,ordinal only,-0.016085430015027144,0.14938350835874542,36,0.0
294,binary only,-0.0013341038576930022,4.256303892498451,63,0.0
194,ordinal only,-0.009135562640029952,0.4416993942261959,86,0.0
313,multi-option nominal only,-0.06416566998543238,1.9246032681978578,84,0.0
330,ordinal only,-0.03824596948003077,0.0,6,0.0
393,binary only,-0.013826527241899518,0.0,24,0.0
363,binary only,-0.08828608750027028,4.613654667960535,78,0.0
221,ordinal only,-0.006711264146419977,1.2364785654036208,41,0.0
340,ordinal only,-0.009189374313575164,0.5997031123773481,108,0.0
232,binary only,-0.012845328965194438,6.451934890811938,171,0.0
213,binary only,-0.02070481517616293,0.3335080530583271,176,0.0
210,binary only,-0.003311520149543857,2.1081730067194786,169,0.0
391,binary only,-0.00970068780464725,0.0,24,0.0
297,binary only,-0.00537914082734943,0.0022590536154131298,19,0.0
396,ordinal only,-0.020259491210379406,0.0,8,0.0
203,binary only,-0.02174015723997086,4.102167096958456,185,0.0
376,binary only,-0.02885673336619213,0.39365285096798464,66,0.0
285,binary only,-0.049464124813612176,6.4330359211343415,87,0.0
211,binary only,-0.004815870957591652,0.43761764538240006,171,0.0
385,ordinal only,-0.01143598643424779,0.545790210128788,35,0.0
265,binary only,-0.0354921628014396,0.18333599661002756,12,0.0
333,binary only,-0.11950603308313004,0.358866680703566,8,0.0
371,ordinal only,-0.02929537080197216,2.8041478225196395,66,0.0
217,ordinal only,-0.021024833688417902,0.021066041560280777,171,0.0
251,binary only,-0.06643814281241332,2.4471392906834337,38,0.0
263,binary only,-0.0024119387155242832,0.023528082582424042,112,0.0
226,ordinal only,-0.00021973024758233187,0.010017082129317175,21,0.0
378,ordinal only,-0.056982432723996945,1.4957501289077277,52,0.0
328,binary only,-0.12424950110796648,0.0020120726854502002,7,0.0
202,binary only,-0.015110217382522658,0.5821429038138822,147,0.0
335,binary only,-0.032486924641329754,0.0,7,0.0
368,binary only,-0.02920881580709945,1.8395256086213,80,0.0
336,binary only,-0.007666601473259727,0.0,7,0.0
196,binary only,-0.0007473630742775918,0.5286631738671805,86,0.0
193,ordinal only,-0.020231650720560417,0.05533572925439871,25,0.0
280,ordinal only,-0.025837957828165087,2.2087533446111807,34,0.0
